Vorausberechneter Bevölkerungsstand: Bundesländer, Stichtag,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Varianten der Bevölkerungsvorausberechnung, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsvorausberechnungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vorausberechneter Bevölkerungsstand (1000);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;17-Jährige;56;55;55;54;53;53;53;52;53;52;52;53;55;56;58;58;58;58;59;59;58;58;58;57;57;56;55;54;54;53;52;51;50;50;49;49;48;48;47;47;47;47
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;18-Jährige;58;57;56;56;54;53;54;54;53;53;52;53;54;55;56;58;58;59;59;59;59;59;58;58;58;57;56;56;55;54;53;52;52;51;50;50;49;49;48;48;48;48
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;19-Jährige;62;59;58;57;56;55;54;54;54;53;54;52;53;54;56;56;59;58;59;59;59;59;59;59;58;58;57;57;56;55;55;54;53;52;51;51;50;50;49;49;49;48
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;20-Jährige;66;63;60;59;58;57;56;55;55;55;54;54;53;54;54;56;57;59;59;59;60;60;60;60;59;59;59;58;57;57;56;55;54;54;53;52;52;51;50;50;50;49
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;21-Jährige;70;67;64;61;60;59;58;57;55;56;56;54;55;53;54;55;57;57;60;59;60;60;60;60;60;60;60;59;59;58;57;57;56;55;54;54;53;52;52;51;51;51
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;22-Jährige;74;71;69;66;62;61;59;59;57;56;56;56;55;55;54;55;55;57;58;60;60;61;61;61;61;61;61;60;60;59;59;58;57;57;56;55;54;54;53;53;52;52
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;23-Jährige;74;75;72;70;67;63;62;60;60;58;57;57;56;55;56;54;55;56;58;58;61;60;61;61;61;61;61;61;61;61;60;59;59;58;57;57;56;55;55;54;53;53
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;24-Jährige;74;75;77;73;71;68;64;62;61;60;58;57;57;57;55;56;55;56;56;58;59;61;61;62;62;62;62;62;62;61;61;61;60;59;59;58;57;57;56;55;55;54
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;25-Jährige;75;75;76;78;74;72;69;65;63;62;61;59;57;58;57;56;57;55;56;57;59;59;62;61;62;62;62;63;62;62;62;62;61;61;60;59;59;58;57;56;56;55
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;26-Jährige;77;76;76;77;78;75;72;69;66;64;62;61;59;58;58;58;56;57;55;56;57;59;60;62;62;62;63;63;63;63;63;62;62;62;61;60;60;59;58;58;57;56
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;27-Jährige;77;78;77;76;78;79;76;73;70;66;64;62;61;59;58;58;58;57;57;56;57;57;59;60;63;62;63;63;63;63;63;63;63;62;62;61;61;60;59;59;58;57
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;28-Jährige;79;78;78;77;77;79;80;76;73;70;66;64;63;62;60;58;59;58;57;58;56;57;58;60;60;63;62;63;63;63;63;63;63;63;63;62;62;61;60;60;59;58
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;29-Jährige;83;79;79;79;78;78;79;80;77;74;70;67;64;63;62;60;59;59;59;57;58;56;57;58;60;61;63;63;63;63;64;64;64;63;63;63;62;62;61;60;60;59
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;30-Jährige;80;83;80;79;80;78;78;79;80;77;74;71;67;65;63;62;60;59;59;59;57;58;56;57;58;60;61;63;63;63;64;64;64;64;64;63;63;62;62;61;61;60
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;31-Jährige;82;81;84;81;80;80;79;78;80;80;77;74;71;67;65;63;62;60;59;59;59;58;58;57;58;58;60;61;63;63;64;64;64;64;64;64;63;63;63;62;61;61
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;32-Jährige;78;83;82;84;81;80;80;79;78;80;81;77;74;71;67;65;63;62;61;59;59;59;58;58;57;58;59;60;61;64;63;64;64;64;64;64;64;64;63;63;62;62
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;33-Jährige;77;79;83;82;85;81;81;80;79;79;80;81;77;74;71;67;65;63;62;61;59;60;59;58;58;57;58;59;61;61;64;63;64;64;64;64;64;64;64;63;63;62
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;34-Jährige;75;78;80;84;83;85;82;81;81;79;79;80;81;77;74;71;67;65;63;63;61;60;60;59;58;59;57;58;59;61;61;64;63;64;64;64;64;64;64;64;63;63
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;35-Jährige;74;75;78;80;84;83;86;82;81;81;79;79;80;81;77;74;71;67;65;64;63;61;60;60;60;58;59;57;58;59;61;61;64;63;64;64;64;64;64;64;64;63
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;36-Jährige;72;74;76;79;80;84;83;86;82;81;81;79;79;80;81;77;74;71;67;65;64;63;61;60;60;60;58;59;57;58;59;61;61;64;63;64;64;64;64;64;64;64
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;37-Jährige;74;73;75;76;79;81;85;84;86;82;81;81;79;79;80;81;77;75;71;68;65;64;63;61;60;60;60;58;59;57;58;59;61;61;64;63;64;64;64;64;64;64
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;38-Jährige;73;74;73;75;76;79;81;85;84;86;82;81;81;79;79;80;81;77;75;71;68;65;64;63;61;60;60;60;58;59;57;58;59;61;61;64;63;64;64;64;64;64
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;39-Jährige;73;73;75;74;75;77;79;81;85;84;86;82;81;81;79;79;80;81;77;75;71;68;66;64;63;61;60;60;60;58;59;57;58;59;61;61;64;63;64;64;64;64
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;40-Jährige;68;74;74;75;74;76;77;80;81;85;84;86;82;81;81;79;79;80;81;77;75;71;68;66;64;63;61;60;60;60;58;59;57;58;59;61;61;64;63;64;64;64
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;41-Jährige;67;69;74;74;75;74;76;77;80;82;85;84;86;82;81;81;79;79;80;81;78;75;72;68;66;64;63;61;60;60;60;58;59;57;58;59;61;61;64;63;64;64
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;42-Jährige;67;67;69;74;74;76;74;76;77;80;82;85;84;86;82;81;81;79;79;80;81;78;75;72;68;66;64;63;61;60;60;60;58;59;57;58;59;61;61;64;63;64
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;43-Jährige;67;67;68;69;74;74;76;75;76;77;80;82;85;84;86;82;81;81;79;79;80;81;78;75;72;68;66;64;63;61;60;60;60;58;59;57;58;59;61;61;64;63
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;44-Jährige;65;67;67;68;70;75;75;76;75;76;77;80;82;85;84;86;82;81;81;79;79;80;81;78;75;72;68;66;64;63;61;60;60;60;58;59;57;58;59;61;61;64
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;45-Jährige;66;65;67;67;68;70;75;75;76;75;76;77;80;82;85;84;86;82;81;81;79;79;80;81;78;75;72;68;66;64;63;61;60;60;60;58;59;57;58;59;61;61
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;46-Jährige;66;66;66;67;68;68;70;75;75;76;75;76;77;80;82;85;84;86;82;81;81;79;79;80;81;78;75;72;68;66;64;63;61;60;60;60;58;59;57;58;59;61
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;47-Jährige;71;66;67;66;68;68;68;70;75;75;76;75;76;77;80;82;85;84;86;82;81;81;79;79;80;81;78;75;72;68;66;64;63;61;60;60;60;58;59;57;58;59
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;48-Jährige;77;71;66;67;66;68;68;68;70;75;75;76;75;76;77;80;82;85;84;86;82;81;81;79;79;80;81;77;75;72;68;66;64;63;61;60;60;60;58;59;57;58
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;49-Jährige;80;77;71;66;67;66;68;68;68;70;75;75;76;75;76;77;80;81;85;84;86;82;81;81;79;79;80;81;77;75;71;68;66;64;63;61;60;60;60;58;59;57
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;50-Jährige;86;80;77;71;66;67;66;68;68;68;70;75;75;76;75;76;77;80;81;85;84;86;82;81;81;79;79;80;81;77;75;71;68;65;64;63;61;60;60;60;58;59
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;51-Jährige;89;86;80;77;71;66;67;66;68;68;68;70;74;74;76;74;76;77;80;81;85;84;86;82;81;81;79;79;80;81;77;74;71;68;65;64;63;61;60;60;60;58
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;52-Jährige;91;89;85;79;77;71;66;66;66;67;67;68;69;74;74;76;74;76;77;79;81;85;83;86;82;81;80;79;78;80;81;77;74;71;67;65;64;63;61;60;60;60
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;53-Jährige;93;91;89;85;79;77;71;66;66;65;67;67;68;69;74;74;75;74;75;76;79;81;84;83;86;82;81;80;79;78;80;80;77;74;71;67;65;64;63;61;60;60
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;54-Jährige;92;93;91;88;85;79;76;71;66;66;65;67;67;68;69;74;74;75;74;75;76;79;81;84;83;85;81;80;80;79;78;79;80;77;74;71;67;65;63;63;61;59
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;55-Jährige;94;92;92;90;88;85;79;76;70;65;66;65;67;67;67;69;74;74;75;74;75;76;79;80;84;83;85;81;80;80;78;78;79;80;77;74;71;67;65;63;62;61
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;56-Jährige;92;93;92;92;90;88;84;78;76;70;65;66;65;66;67;67;69;73;73;75;73;75;76;78;80;84;83;85;81;80;80;78;78;79;80;76;74;71;67;65;63;62
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;57-Jährige;89;92;93;91;91;89;87;84;78;75;70;65;65;64;66;66;67;68;73;73;74;73;75;76;78;80;83;82;84;81;80;79;78;77;79;79;76;73;70;67;64;63
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;58-Jährige;86;88;91;92;91;91;89;87;83;78;75;69;65;65;64;66;66;67;68;73;73;74;73;74;75;78;80;83;82;84;80;79;79;78;77;78;79;76;73;70;66;64
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;59-Jährige;83;85;87;91;92;90;90;88;86;83;77;74;69;64;65;64;65;66;66;68;72;72;74;72;74;75;78;79;83;81;84;80;79;79;77;77;78;79;75;73;70;66
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;60-Jährige;79;82;85;87;90;91;90;90;88;86;82;77;74;69;64;64;63;65;65;66;67;72;72;73;72;73;74;77;79;82;81;83;80;79;78;77;76;78;78;75;72;69
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;61-Jährige;75;78;81;84;86;89;90;89;89;87;85;82;76;73;68;63;64;63;65;65;65;67;72;72;73;72;73;74;77;78;82;81;83;79;78;78;76;76;77;78;75;72
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;62-Jährige;72;74;78;80;83;85;88;89;88;88;86;84;81;75;73;68;63;63;62;64;64;65;66;71;71;72;71;73;74;76;78;81;80;82;79;78;77;76;76;77;78;74
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;63-Jährige;69;71;73;77;80;82;84;87;89;87;87;86;84;80;75;72;67;62;63;62;64;64;64;66;70;71;72;71;72;73;76;77;81;80;82;78;77;77;75;75;76;77
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;64-Jährige;65;68;70;72;76;79;81;84;87;88;86;87;85;83;80;74;72;66;62;62;61;63;63;64;65;70;70;71;70;71;72;75;77;80;79;81;77;77;76;75;75;76
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;65-Jährige;61;64;67;69;71;75;78;80;83;86;87;85;86;84;82;79;73;71;66;61;62;61;63;63;63;65;69;69;71;69;71;72;74;76;79;78;81;77;76;76;74;74
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;66-Jährige;58;60;63;66;69;70;74;77;79;82;85;86;85;85;83;81;78;73;70;65;61;61;60;62;62;63;64;69;69;70;69;70;71;74;75;79;78;80;76;75;75;74
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;67-Jährige;57;57;59;62;65;68;69;73;76;78;81;83;85;83;84;82;80;77;72;69;64;60;60;60;61;61;62;63;68;68;69;68;70;70;73;75;78;77;79;76;75;74
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;68-Jährige;55;56;56;59;61;64;67;68;72;75;77;79;82;83;82;83;81;79;76;71;69;64;59;60;59;61;61;61;63;67;67;69;67;69;70;72;74;77;76;78;75;74
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;69-Jährige;55;54;55;55;58;60;63;65;67;71;74;76;78;81;82;81;81;80;78;75;70;68;63;58;59;58;60;60;61;62;66;66;68;67;68;69;72;73;76;75;78;74
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;70-Jährige;54;54;53;54;54;56;59;62;64;66;70;72;75;77;80;81;80;80;79;77;74;69;67;62;58;58;57;59;59;60;61;66;66;67;66;67;68;71;72;76;75;77
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;71-Jährige;49;52;52;52;53;53;55;58;61;63;65;68;71;74;76;79;80;79;79;77;76;73;68;66;61;57;57;57;58;58;59;60;65;65;66;65;66;67;70;71;75;74
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;72-Jährige;45;48;51;51;51;52;52;54;57;60;62;64;67;70;72;74;77;78;77;78;76;74;72;67;65;60;56;56;56;57;58;58;59;64;64;65;64;65;66;69;71;74
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;73-Jährige;39;44;47;50;50;50;51;51;53;55;59;61;62;66;68;71;73;76;77;76;76;75;73;70;66;63;59;55;55;55;56;57;57;59;63;63;64;63;64;65;68;69
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;74-Jährige;32;38;43;46;49;49;49;50;49;52;54;57;59;61;64;67;69;71;74;75;74;75;73;72;69;64;62;58;54;54;54;55;56;56;58;62;62;63;62;63;64;67
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;75-Jährige;42;31;36;41;45;47;47;47;48;48;50;53;56;58;60;63;65;68;70;72;74;73;73;72;70;68;63;61;57;53;53;53;54;55;55;56;61;61;62;61;62;63
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;76-Jährige;41;40;30;35;40;43;46;46;46;47;47;49;51;54;56;58;61;64;66;68;71;72;71;71;70;69;66;62;60;55;52;52;52;53;53;54;55;59;59;61;60;61
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;77-Jährige;40;39;39;29;34;39;42;44;45;45;46;45;48;50;53;55;56;59;62;64;66;69;70;69;69;68;67;64;60;58;54;50;51;50;52;52;53;54;58;58;59;59
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;78-Jährige;46;38;38;37;28;33;37;40;43;43;43;44;44;46;48;51;53;55;58;60;62;64;67;68;67;67;66;65;63;58;57;53;49;50;49;51;51;51;53;57;57;58
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;79-Jährige;46;44;37;36;36;27;32;36;39;41;41;41;42;42;44;46;49;51;53;56;58;60;62;65;66;65;65;64;63;61;57;55;51;48;48;48;49;49;50;51;55;55
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;80-Jährige;44;44;42;35;35;34;26;30;34;37;39;40;40;41;41;43;45;47;49;51;53;56;58;60;62;63;63;63;62;61;59;55;53;49;46;47;46;48;48;49;50;54
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;81-Jährige;39;42;42;40;33;33;32;24;29;33;35;38;38;38;39;39;41;43;45;47;48;51;53;55;57;60;61;60;61;60;58;56;53;51;48;44;45;45;46;46;47;48
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;82-Jährige;34;36;39;39;37;31;31;31;23;27;31;33;35;36;36;37;37;39;40;43;45;46;49;51;53;55;57;58;57;58;57;56;54;50;49;46;43;43;43;44;44;45
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;83-Jährige;31;32;34;36;37;35;29;29;29;22;25;29;31;33;34;34;34;34;36;38;40;42;43;46;48;50;52;54;55;54;55;54;53;51;48;47;43;41;41;41;42;42
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;84-Jährige;27;28;29;31;34;34;32;27;27;26;20;23;27;29;31;31;31;32;32;34;36;38;39;41;43;45;47;49;51;52;51;52;51;50;48;45;44;41;38;39;39;40
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;85-Jährige;22;24;26;27;28;31;31;29;25;24;24;18;22;25;27;29;29;29;30;30;31;33;35;36;38;40;42;44;45;47;48;48;48;48;47;45;43;41;39;36;37;36
Baden-Württemberg;BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;86-Jährige;17;20;22;23;24;25;28;28;26;22;22;22;17;20;22;24;26;26;26;27;27;29;30;32;34;35;37;39;40;42;44;45;44;45;44;44;42;40;38;36;34;34
