;Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 18/2021;;;;;;;;;;;
2020;35;8,822;32;53%;47%;6,875;30.7%;7,432;366;5%;18;0.20%
2020;36;8,616;33;54%;46%;6,657;27.2%;7,085;400;6%;36;0.42%
2020;37;9,769;35;52%;48%;7,609;20.5%;8,041;467;6%;66;0.68%
2020;38;12,295;36;51%;49%;9,767;18.7%;10,069;674;7%;80;0.65%
2020;39;13,064;37;52%;48%;10,370;18.2%;10,859;772;7%;107;0.82%
2020;40;15,927;38;52%;48%;12,613;17.5%;13,486;875;6%;121;0.76%
2020;41;26,125;39;51%;49%;20,124;16.6%;21,565;1589;7%;240;0.92%
2020;42;42,087;39;51%;49%;30,921;16.0%;33,732;2329;7%;461;1.10%
2020;43;74,811;40;50%;50%;52,451;15.5%;58,175;4103;7%;992;1.33%
2020;44;111,083;41;50%;50%;75,685;15.8%;84,052;5921;7%;1598;1.44%
2020;45;125,791;41;49%;51%;85,324;15.2%;92,857;6847;7%;1860;1.48%
2020;46;127,835;42;48%;52%;85,870;14.8%;94,626;7486;8%;2477;1.94%
2020;47;128,437;43;47%;53%;86,544;14.8%;94,153;8026;9%;3159;2.46%
2020;48;123,278;44;47%;53%;82,607;15.4%;90,072;8272;9%;3522;2.86%
2020;49;128,480;45;46%;54%;87,706;14.2%;94,391;9100;10%;4376;3.41%
2020;50;156,478;46;45%;55%;107,964;14.6%;114,909;11169;10%;5619;3.59%
2020;51;174,853;46;45%;55%;118,687;14.5%;126,880;12435;10%;6298;3.60%
2020;52;139,086;48;44%;56%;91,810;15.8%;100,436;10941;11%;5580;4.01%
2020;53;123,112;49;44%;56%;84,500;13.4%;90,520;10822;12%;5562;4.52%
2021;1;145,526;48;45%;55%;102,175;13.2%;107,431;10903;10%;5553;3.82%
2021;2;119,119;48;45%;55%;81,361;15.7%;87,745;9627;11%;4945;4.15%
2021;3;95,644;48;46%;54%;67,028;15.7%;72,662;8544;12%;3942;4.12%
2021;4;78,255;48;46%;54%;55,508;16.0%;61,379;7240;12%;2995;3.83%
2021;5;64,671;46;47%;53%;46,804;16.0%;51,379;6204;12%;2154;3.33%
2021;6;50,860;45;48%;52%;37,556;16.3%;40,608;4979;12%;1622;3.19%
2021;7;52,494;44;49%;51%;38,981;16.2%;42,157;4901;12%;1407;2.68%
2021;8;56,446;42;50%;50%;41,936;15.7%;45,033;4553;10%;1155;2.05%
2021;9;58,500;40;51%;49%;43,696;15.4%;46,381;4118;9%;964;1.65%
2021;10;71,462;39;50%;50%;52,711;15.6%;55,457;4573;8%;1015;1.42%
2021;11;92,753;39;50%;50%;67,815;15.4%;71,383;5320;7%;1159;1.25%
2021;12;116,563;38;51%;49%;82,371;15.8%;88,568;6292;7%;1360;1.17%
2021;13;110,401;39;51%;49%;76,208;15.4%;82,158;6159;7%;1350;1.22%
2021;14;118,504;39;51%;49%;81,771;14.0%;88,044;6608;8%;1248;1.05%
2021;15;142,475;38;51%;49%;93,868;15.8%;103,839;6713;6%;1137;0.80%
2021;16;145,159;37;52%;48%;93,348;16.4%;104,845;6471;6%;877;0.60%
2021;17;124,937;37;52%;48%;78,434;16.6%;88,276;4916;6%;445;0.36%
2021;18;100,788;37;51%;49%;57,843;16.6%;67,547;3075;5%;139;0.14%
