published	date	patients
2022-04-21	2022-02-09	1482
2022-04-21	2022-02-10	1488
2022-04-21	2022-02-11	1555
2022-04-21	2022-02-12	1567
2022-04-21	2022-02-13	1575
2022-04-21	2022-02-14	1585
2022-04-21	2022-02-15	1631
2022-04-21	2022-02-16	1650
2022-04-21	2022-02-17	1594
2022-04-21	2022-02-18	1621
2022-04-21	2022-02-19	1654
2022-04-21	2022-02-20	1687
2022-04-21	2022-02-21	1719
2022-04-21	2022-02-22	1731
2022-04-21	2022-02-23	1672
2022-04-21	2022-02-24	1655
2022-04-21	2022-02-25	1614
2022-04-21	2022-02-26	1607
2022-04-21	2022-02-27	1600
2022-04-21	2022-02-28	1595
2022-04-21	2022-03-01	1587
2022-04-21	2022-03-02	1556
2022-04-21	2022-03-03	1501
2022-04-21	2022-03-04	1471
2022-04-21	2022-03-05	1511
2022-04-21	2022-03-06	1554
2022-04-21	2022-03-07	1594
2022-04-21	2022-03-08	1625
2022-04-21	2022-03-09	1728
2022-04-21	2022-03-10	1719
2022-04-21	2022-03-11	1726
2022-04-21	2022-03-12	1755
2022-04-21	2022-03-13	1785
2022-04-21	2022-03-14	1816
2022-04-21	2022-03-15	1869
2022-04-21	2022-03-16	1883
2022-04-21	2022-03-17	1894
2022-04-21	2022-03-18	1882
2022-04-21	2022-03-19	1911
2022-04-21	2022-03-20	1937
2022-04-21	2022-03-21	1972
2022-04-21	2022-03-22	2088
2022-04-21	2022-03-23	2081
2022-04-21	2022-03-24	2033
2022-04-21	2022-03-25	2000
2022-04-21	2022-03-26	1998
2022-04-21	2022-03-27	1998
2022-04-21	2022-03-28	1999
2022-04-21	2022-03-29	2045
2022-04-21	2022-03-30	2028
2022-04-21	2022-03-31	1991
2022-04-21	2022-04-01	1928
2022-04-21	2022-04-02	1960
2022-04-21	2022-04-03	1992
2022-04-21	2022-04-04	2023
2022-04-21	2022-04-05	2028
2022-04-21	2022-04-06	1954
2022-04-21	2022-04-07	1912
2022-04-21	2022-04-08	1874
2022-04-21	2022-04-09	1847
2022-04-21	2022-04-10	1822
2022-04-21	2022-04-11	1797
2022-04-21	2022-04-12	1786
2022-04-21	2022-04-13	1710
2022-04-21	2022-04-14	1620
2022-04-21	2022-04-15	1604
2022-04-21	2022-04-16	1586
2022-04-21	2022-04-17	1568
2022-04-21	2022-04-18	1550
2022-04-21	2022-04-19	1535
2022-04-21	2022-04-20	1551
2022-04-28	2022-04-07	1913
2022-04-28	2022-04-08	1875
2022-04-28	2022-04-09	1848
2022-04-28	2022-04-10	1822
2022-04-28	2022-04-11	1798
2022-04-28	2022-04-12	1784
2022-04-28	2022-04-13	1709
2022-04-28	2022-04-14	1622
2022-04-28	2022-04-15	1604
2022-04-28	2022-04-16	1587
2022-04-28	2022-04-17	1569
2022-04-28	2022-04-18	1551
2022-04-28	2022-04-19	1535
2022-04-28	2022-04-20	1547
2022-04-28	2022-04-21	1481
2022-04-28	2022-04-22	1411
2022-04-28	2022-04-23	1408
2022-04-28	2022-04-24	1408
2022-04-28	2022-04-25	1405
2022-04-28	2022-04-26	1396
2022-04-28	2022-04-27	1371
